trainer,trainer_career_wins,trainer_group_1_wins,trainer_prize_money,trainer_win_pct,trainer_place_pct,trainer_recent_win_pct,trainer_group_1_win_pct,trainer_group_1_place_pct,trainer_group_2_win_pct,trainer_group_2_place_pct,trainer_group_3_win_pct,trainer_group_3_place_pct,trainer_listed_win_pct,trainer_listed_place_pct,trainer_other_win_pct,trainer_other_place_pct
aaron-clarke,122,0,2118767,8,27,6,,,,,0,0,,,8,27
aaron-laing,14,0,553190,6,25,10,,,0,0,0,0,,,6,25
aaron-purcell,456,3,17286146,9,31,14,15,30,20,30,5,26,7,26,9,31
adam-campton,49,0,1976714,19,45,12,,,0,100,,,0,33,19,44
adam-chambers,48,0,1091446,16,39,22,,,,,,,0,0,16,39
adam-duggan,142,0,3172134,16,39,12,,,0,0,0,0,0,40,17,39
adam-trinder,540,1,14912759,16,43,38,12,37,42,71,5,22,20,43,16,43
adrian-mcgregor,78,0,1492080,12,34,18,0,0,0,0,0,33,0,7,13,34
aiden-st-vincent,53,0,1374172,8,31,8,,,,,,,0,0,8,31
aleacia-bennett,26,0,803065,8,27,10,,,,,0,0,0,0,8,27
alex-rae,48,0,1747739,12,39,12,,,,,0,0,0,20,13,40
alisa-hinch,16,0,665366,7,24,4,,,,,0,0,,,7,25
alison-smith,138,0,2161472,8,27,6,,,,,,,,,8,27
allan-kehoe,174,0,4472927,9,33,12,,,0,0,0,0,0,27,10,33
allan-mcrae,91,0,1324477,8,30,4,,,,,,,,,8,30
amanda-turner,131,0,3716627,7,26,2,0,0,,,0,0,0,0,7,26
amy-yargi,132,0,4095987,10,30,10,0,0,100,100,0,0,0,17,10,31
andrea-leek,19,0,666132,13,34,8,,,,,,,,,13,34
andrew-bobbin,89,0,3192250,9,31,6,0,0,0,0,0,0,11,11,9,32
andrew-campbell,15,0,396753,6,25,4,,,,,,,,,6,25
andrew-dale,187,0,3464662,10,31,16,,,,,0,0,0,0,10,31
andrew-forsman,16,1,3641377,11,32,6,2,16,9,52,33,44,18,36,14,33
andrew-homann,45,0,1341617,7,28,8,,,,,0,0,0,25,7,28
andrew-macdonald,23,0,606045,10,35,12,,,,,,,,,10,35
andrew-noblet,339,1,13611355,12,33,22,2,20,14,25,13,32,7,27,12,33
andrew-ryan,10,0,281470,12,36,12,,,,,,,,,12,36
andrew-scott,13,3,1588760,20,36,26,23,38,0,33,25,25,20,40,21,36
angela-davies,184,0,3913137,23,51,24,,,0,0,0,50,0,37,24,51
annabel-neasham,315,8,40904222,16,44,14,9,39,18,40,5,34,12,36,17,45
anthony-chibnall,21,0,857846,6,29,10,,,0,0,0,50,25,25,6,29
anthony-cummings,962,31,64923399,10,32,10,7,22,7,20,7,21,11,28,11,33
anthony-freedman,895,19,72595783,16,41,18,9,26,7,27,10,33,13,35,17,44
anthony-mountney,39,0,953175,9,33,6,,,0,0,0,0,0,0,9,33
archie-alexander,367,0,15231937,14,35,26,0,14,7,15,7,20,13,26,15,37
arthur-pace,85,0,1164879,18,42,14,,,,,,,10,40,18,42
ashlee-grives,7,0,265110,3,16,2,,,,,,,,,3,16
barry-baldwin,744,1,16884521,13,34,8,7,7,5,5,9,20,5,14,13,35
barry-campbell,598,0,10454501,14,36,14,0,0,,,9,25,9,31,14,37
ben-brisbourne,144,0,4739190,11,35,14,,,0,0,0,25,0,9,11,35
ben-hayes,313,5,28242162,13,36,22,15,31,21,39,2,30,13,28,14,37
ben-lees,2,0,168270,1,14,4,,,,,,,,,1,14
benjamin-smith,76,2,4390957,12,33,8,16,58,75,75,0,0,14,14,11,32
bill-papazaharoudakis,68,0,1392800,11,31,14,0,0,0,0,0,10,12,32,11,31
bjorn-baker,1155,4,68368539,16,41,14,3,16,10,34,12,33,10,31,17,42
blake-fitzpatrick,18,0,470192,6,20,4,,,,,,,,,6,20
blake-ryan,16,0,660770,8,29,6,,,,,,,0,50,8,29
bob-milligan,794,0,10087659,11,35,10,0,0,11,44,21,42,13,16,11,35
brad-widdup,309,1,18540682,15,41,16,5,31,0,12,1,21,11,31,16,43
brendon-hawtin,1,0,91485,2,20,2,,,,,,,0,33,3,18
brent-stanley,259,0,8292445,13,34,10,0,0,5,5,4,23,4,11,14,36
brett-cavanough,1018,0,17979487,14,37,12,0,0,4,20,3,9,6,20,14,37
brett-conlon,7,0,267917,6,32,6,,,,,,,,,6,32
brett-dodson,334,0,4840682,11,35,10,,,0,0,0,0,9,18,12,36
brett-lazzarini,29,0,1279890,7,26,6,,,,,33,33,0,16,7,26
brett-partelle,285,0,6172362,11,31,8,0,0,12,25,9,27,0,3,11,31
brett-robb,148,0,3399405,16,41,12,,,,,0,0,,,16,41
brett-scott,107,0,4498679,7,27,8,0,0,0,0,11,33,4,26,8,28
brett-thompson,396,0,6497936,10,33,8,,,0,0,0,0,0,0,10,33
bruce-anderson,9,0,165577,6,24,6,,,,,,,0,0,6,24
bruce-wallace,108,7,4392376,16,42,16,7,18,6,20,11,36,9,43,21,53
bryce-heys,75,0,3316361,12,33,8,0,20,0,0,7,21,5,23,12,35
cameron-crockett,249,0,6679055,16,43,12,0,0,0,0,,,50,50,16,43
cameron-thompson,57,0,1441880,5,22,8,,,,,,,0,0,5,23
caroline-jennings,19,0,718810,18,35,16,0,0,,,,,,,19,36
cassandra-schmidt,11,0,262285,10,31,12,,,,,,,,,10,31
cassandra-stummer,13,0,432270,5,25,10,0,0,0,0,0,0,,,5,26
cathleen-wilson,10,0,266488,5,19,14,,,,,,,,,5,19
charlotte-littlefield,74,0,2386610,8,27,8,,,0,0,0,20,0,100,8,27
cheryl-grouse,8,0,221950,6,17,6,,,,,0,0,0,0,6,18
cheryl-weller,12,0,318646,12,30,14,,,,,,,,,12,30
chris-bieg,162,0,5188325,11,31,8,0,11,0,0,6,20,14,24,12,32
chris-calthorpe,74,1,2623906,6,21,2,100,100,,,0,0,0,0,6,21
chris-heywood,252,0,3802791,9,32,4,,,0,0,,,0,14,9,32
chris-hyland,244,0,7166503,10,31,8,0,25,0,0,6,20,2,13,10,32
chris-munce,437,1,18178266,12,37,14,12,25,3,27,3,15,8,25,13,38
chris-waller,4100,150,436460863,13,39,14,11,27,12,34,11,32,10,34,14,40
christine-sexton,25,0,689553,8,25,2,,,,,,,,,8,25
ciaron-maher,2020,36,153368605,17,42,16,10,26,8,36,12,33,12,34,18,43
cindy-alderson,203,0,8444178,12,35,12,0,0,8,16,0,42,20,54,12,35
claire-lever,27,0,916195,12,34,6,,,,,,,,,12,34
clarry-conners,1270,34,57460977,10,30,10,11,28,9,26,8,25,8,22,10,31
clay-beasy,10,0,459205,10,37,12,,,,,0,0,,,11,37
clayton-douglas,49,2,11364259,13,34,14,40,60,20,60,11,22,0,16,13,34
cliff-brown,311,4,12244850,10,31,22,3,14,6,26,4,22,6,21,11,33
clint-lundholm,316,0,6230475,11,32,14,,,,,,,,,11,32
clinton-mcdonald,421,3,15619690,12,34,22,11,11,9,31,5,25,8,27,13,35
cody-morgan,272,0,7317410,19,46,30,,,0,0,0,0,0,9,19,46
cody-reardon,8,0,265535,5,21,4,,,0,0,,,,,5,21
colin-hughes,10,0,220905,5,16,10,,,,,,,,,5,16
colin-scott,55,0,2450661,10,34,6,0,30,0,28,14,28,28,57,10,34
colt-prosser,233,0,4183612,9,31,14,,,,,,,0,0,9,31
con-karakatsanis,160,2,6821461,10,30,6,6,24,6,18,8,25,21,32,10,30
con-kelly,204,0,2514862,8,25,6,,,,,,,,,8,25
connie-greig,258,0,4180020,8,28,16,,,,,,,,,8,28
craig-blackshaw,43,0,1323264,8,26,6,,,,,0,0,0,0,8,27
craig-carmody,83,0,2785645,9,32,6,0,0,0,0,0,12,22,33,9,32
craig-martin,385,0,4583512,17,43,8,,,,,0,0,16,16,17,43
craig-thornton,3,0,32516,13,27,13,0,0,,,0,0,0,33,21,35
craig-weeding,95,0,2295170,10,38,10,,,,,,,0,100,10,38
craig-widdison,107,0,2565205,13,29,18,,,,,0,0,10,20,13,29
daiki-chujo,35,0,1049795,5,20,4,,,0,0,0,0,0,0,5,20
dale-short,51,0,1255959,9,30,14,,,0,0,0,100,0,0,9,30
damien-lane,274,0,9132107,8,29,8,0,0,,,0,12,0,6,8,29
damien-moyle,29,0,904452,11,34,10,,,,,0,0,0,0,11,35
damien-smith,8,0,217480,5,17,8,,,,,,,,,5,17
dan-mccarthy,233,0,4338024,13,34,6,0,0,0,14,0,0,0,0,14,34
dan-osullivan,592,0,16164843,10,30,14,0,10,12,19,9,21,9,28,10,30
daniel-bowman,173,1,6162442,11,34,10,11,11,0,10,0,5,9,27,12,35
daniel-morton,705,7,32375156,15,39,10,9,29,8,25,15,31,13,33,15,40
daniel-robinson,10,0,396090,5,20,8,,,,,,,,,5,20
daniel-williams,20,0,632227,7,21,4,,,100,100,0,0,0,0,7,21
danielle-seib,69,0,2912127,15,34,16,,,,,0,33,0,0,15,34
danny-obrien,1449,23,93774201,14,40,28,7,22,10,31,8,29,9,30,15,42
danny-williams,495,1,13758162,15,37,12,4,14,0,8,10,25,4,19,15,38
darrell-burnet,11,0,202840,18,40,20,,,,,,,,,18,40
darren-graham,172,0,2112325,11,34,10,0,66,0,0,0,22,10,20,11,34
darryl-karp,14,0,186375,9,23,10,,,,,,,0,0,9,23
darryn-weatherley,6,1,584960,25,54,23,25,50,50,50,,,,,25,37
daryl-archard,186,0,3262504,7,24,4,0,0,0,0,0,100,9,9,7,24
david-atkins,388,0,8384584,12,35,14,0,15,17,44,9,21,4,30,12,35
david-blundell,335,0,2994356,11,32,10,0,0,0,0,0,0,12,25,11,32
david-bourne,209,0,4626427,12,37,10,0,14,0,11,0,30,5,25,13,38
david-brideoake,717,3,21863298,11,33,14,8,20,5,17,8,16,7,26,12,34
david-feek,66,0,2365643,11,34,10,0,0,,,20,20,0,0,11,34
david-j-smith,54,0,1298600,10,29,10,,,,,,,0,0,10,29
david-jolly,878,4,22125960,15,40,4,8,18,8,24,7,23,9,30,15,41
david-matts,108,0,1177778,13,40,12,,,,,0,0,0,0,13,40
david-mccolm,28,0,1357645,16,36,20,0,0,0,100,,,0,42,17,35
david-oprey,154,0,2789701,7,26,10,,,,,0,0,0,0,7,26
david-payne,623,14,42674498,10,33,10,6,19,7,29,5,26,7,28,11,34
david-pfieffer,398,1,18536385,13,35,4,5,17,9,25,3,24,12,34,13,36
david-vandyke,655,4,25704033,22,50,10,11,30,6,22,20,41,12,30,22,51
dean-binaisse,145,0,4915742,7,29,8,0,0,0,30,5,21,0,8,8,29
dean-grass,13,0,333059,5,21,6,,,,,,,20,40,5,21
dean-krongold,27,0,856735,9,33,12,,,,,0,0,0,0,9,34
dean-mirfin,144,0,3125939,12,36,10,,,,,0,0,,,12,36
deanne-taylor,20,0,644581,5,14,4,,,,,0,0,0,0,5,14
denim-wynen,13,0,430940,9,29,8,,,,,,,,,9,29
denis-pagan,9,1,1569937,9,33,10,25,25,0,100,0,0,0,20,11,37
desleigh-forster,380,1,15343813,13,36,20,4,12,0,13,9,15,9,28,14,37
dominika-griglakova,0,0,18445,,11,,,,,,,,,,0,11
donna-gaskin,127,0,2818822,7,27,,0,0,,,0,25,0,33,8,27
donna-scott,116,0,2877701,11,34,8,,,0,0,,,25,25,11,34
drew-tyson,12,0,276875,23,55,24,,,,,,,0,0,25,60
dwayne-reid,19,0,441808,7,20,2,,,,,,,,,7,20
edward-cummings,57,3,5324630,11,31,14,14,19,0,22,15,20,0,0,12,33
edward-orourke,45,0,1937012,11,40,6,0,0,0,0,0,0,0,40,12,42
emma-fouchard,5,0,176920,4,14,4,,,,,,,,,4,14
emma-lee-browne,29,0,1682637,11,33,10,0,0,14,42,7,14,0,0,11,36
enver-jusufovic,223,0,7333889,13,37,14,0,0,16,33,6,20,0,40,13,37
gai-waterhouse-ao,4551,145,309010766,19,45,30,12,32,14,38,13,36,14,37,21,48
gareth-andrews,64,0,1475820,8,30,14,,,,,0,0,0,0,9,30
garry-frazer,277,4,8540613,9,28,8,16,41,7,15,11,35,8,23,9,28
garry-lunn,486,0,5127999,10,31,10,,,33,66,0,100,0,33,10,31
gary-colvin,357,0,5834881,9,29,12,,,,,0,0,20,40,9,29
gary-moore,254,4,15000413,13,38,6,15,38,15,28,13,22,7,27,14,39
gary-nickson,216,0,4672139,8,24,6,0,0,0,25,0,8,8,24,8,24
gary-portelli,1066,8,51349728,11,33,10,6,13,6,23,5,18,4,19,11,34
gavin-bedggood,87,0,3964407,11,34,8,0,0,0,33,0,0,7,7,11,35
gayna-williams,454,0,6084418,12,36,12,,,,,,,0,14,12,36
genevieve-browne,4,0,115492,3,22,2,,,,,,,,,3,22
geoff-duryea,250,0,4677290,12,35,12,0,0,0,0,0,66,10,20,12,35
geoff-obrien,268,0,2275138,11,32,10,0,100,0,0,0,28,40,40,11,32
geoffrey-crothers,18,0,313375,7,21,8,,,,,,,,,7,21
geon-singh,7,0,167965,5,21,6,,,,,,,,,5,21
george-dimitropoulos,39,0,728975,6,21,10,,,,,,,,,6,21
george-osborne,492,0,9204713,12,35,6,0,0,0,0,0,0,8,28,12,35
gerald-ryan,2355,17,109342265,15,39,14,6,21,10,30,10,34,9,30,15,41
gerard-moloney,82,0,2042523,9,29,2,0,0,0,50,8,25,0,19,9,30
glen-milligan,37,0,956790,12,32,22,,,,,,,0,0,12,33
glenn-cross,10,0,202833,6,20,6,,,,,,,,,6,20
gordon-richards,427,1,16170660,9,31,12,4,23,0,28,6,26,3,18,9,31
graham-payne,59,0,1352345,10,32,12,,,,,,,,,10,32
grahame-begg,636,11,41957996,13,37,6,5,25,13,33,11,29,8,27,14,39
grant-dalziel,199,0,3740606,9,28,10,0,0,5,22,0,17,6,13,9,29
grant-finnigan,3,0,78220,8,30,8,,,,,,,,,8,30
grant-jobson,2,0,104090,6,37,6,,,,,,,,,6,37
greg-eurell,1162,9,38136093,13,36,12,12,28,12,43,14,31,9,25,13,37
greg-middleton,15,0,168915,7,26,10,,,,,,,,,7,26
gregory-hickman,489,3,23142552,11,32,8,7,21,13,33,7,27,3,19,11,33
gregory-mcfarlane,157,0,4427815,10,32,6,,,0,0,0,0,0,33,10,32
guy-lowry,28,0,507069,25,55,26,0,7,20,80,0,27,0,0,34,70
gwenda-johnstone,329,1,6850784,10,31,12,12,25,0,14,0,18,10,10,10,31
gwenda-markwell,958,2,25892570,10,32,6,5,17,5,11,6,16,10,26,10,32
hanna-powell,48,0,1029332,8,30,10,,,,,,,,,8,30
helen-white,5,0,172378,2,14,,,,,,,,,,2,14
henry-dwyer,426,2,17175472,12,33,18,10,21,25,33,9,16,6,22,13,33
holly-mckechnie,3,0,95550,7,27,7,,,,,,,,,7,27
ian-finn,25,0,661551,5,19,2,0,0,0,0,0,0,0,0,6,20
imogen-miller,32,0,801516,13,37,22,,,,,0,0,0,20,14,37
ivan-lister,49,0,542679,8,27,14,,,,,0,0,0,0,8,27
jack-laing,11,0,391753,5,23,8,,,,,,,0,0,5,23
jack-van-duren,75,0,951470,4,14,2,,,,,,,0,0,4,14
jackie-beriman,16,0,523033,6,24,6,,,,,0,0,0,0,6,24
jackson-pallot,67,0,1336596,8,28,14,0,0,,,,,0,100,8,28
jacob-perrett,34,0,579120,9,31,16,,,,,,,,,9,31
jake-hull,8,0,235725,12,35,14,,,,,,,,,12,35
james-cummings,1305,40,162108277,17,45,24,10,33,15,38,14,37,15,41,18,48
james-ferguson,1,0,629457,16,33,11,0,0,50,100,,,,,,
james-ponsonby,37,0,1637030,7,24,8,,,,,,,,,7,24
jamie-edwards,446,1,10099159,10,32,2,7,7,8,25,6,6,4,27,10,32
jamie-scott,76,0,1227411,8,26,8,,,,,,,0,0,8,26
jamie-stewart,39,0,963357,13,38,12,,,,,,,,,13,38
jan-bowen,186,0,4616590,9,29,6,,,0,0,0,0,5,29,9,29
jan-wicks,8,0,194926,6,20,14,,,,,,,,,6,20
jane-clement,244,0,3712684,8,27,4,,,,,,,0,0,8,27
jarrod-austin,164,0,5743605,10,36,12,0,0,0,50,0,14,3,38,11,36
jarrod-robinson,56,0,1488507,8,28,14,,,0,0,,,,,8,28
jason-coyle,522,2,23981076,9,29,12,5,11,7,22,6,20,6,14,9,30
jason-deamer,293,0,6930649,15,38,10,0,100,0,0,0,25,16,41,15,38
jason-warren,557,1,18714643,12,34,14,2,6,6,20,12,22,8,26,12,35
jean-dubois,52,0,3043071,11,31,4,0,0,33,100,0,14,11,11,11,32
jeff-englebrecht,424,0,7006048,9,29,4,,,0,28,0,8,11,23,9,29
jenny-graham,258,0,5878270,13,39,12,0,0,100,100,0,66,18,45,13,39
jeremy-gask,250,0,4593721,12,36,6,0,18,0,22,0,23,6,26,12,37
jeremy-sylvester,238,1,5230281,7,25,4,50,50,0,0,0,0,0,8,7,25
jerome-hunter,232,0,6692902,12,33,26,0,42,33,50,20,40,12,24,12,33
jessie-constantine,7,0,189589,5,12,10,,,,,,,,,5,12
jim-conlan,241,5,10229308,13,38,12,6,23,13,26,9,22,11,35,14,40
jim-lee,170,0,5334832,6,22,12,0,0,0,11,12,22,13,21,5,22
jim-wallace,24,4,1626060,28,51,28,22,38,25,58,0,0,14,28,35,62
jody-thompson,96,0,1608241,8,28,6,,,,,,,,,8,28
joe-cleary,387,0,6387974,12,35,8,0,0,0,0,0,0,6,12,12,35
john-bannister,37,0,1043382,4,19,12,,,,,,,,,4,19
john-blacker,1084,0,17080972,10,33,8,0,0,50,50,3,13,6,28,11,33
john-hawkes,4567,99,258519759,16,41,16,8,27,11,34,11,32,12,33,17,44
john-leek-(jnr),179,0,3379412,15,36,16,0,0,0,0,0,0,7,15,15,37
john-macmillan,282,0,5999354,9,30,8,,,0,0,0,0,1,11,9,31
john-mcardle,576,2,18265632,11,34,2,5,12,6,15,8,24,6,25,11,35
john-moloney,573,0,18886533,11,32,8,0,6,2,21,1,18,6,15,11,33
john-oshea,1772,29,119909622,17,45,16,7,25,12,32,11,36,14,38,19,48
john-pascoe,29,0,1038707,12,35,14,0,0,0,0,,,0,0,12,37
john-price,363,0,9421695,11,36,2,0,0,15,15,7,28,10,32,11,36
john-sadler,577,3,25374500,15,39,16,4,20,10,21,16,26,4,19,16,41
john-salanitri,311,1,8712839,10,30,4,5,23,0,17,4,20,4,15,10,30
john-sargent,424,5,24802334,12,35,10,3,14,9,32,8,26,10,27,13,37
john-sprague,249,0,3730948,11,33,2,,,,,0,0,,,11,33
john-steinmetz,96,0,2520063,8,25,6,0,0,0,0,0,50,0,0,8,25
jon-oconnor,360,0,9135548,11,34,10,0,0,0,0,6,19,5,18,11,34
jonny-field,9,0,357740,11,34,12,,,,,0,100,0,100,12,32
joseph-burges,25,0,987170,9,33,10,,,,,,,,,9,33
joseph-ible,105,0,2546970,12,34,18,,,,,0,0,0,0,12,34
joseph-obrien,22,5,17069314,18,47,20,12,33,16,55,27,59,21,64,25,41
joseph-pride,1191,18,84461103,15,39,14,9,27,14,32,12,32,12,35,15,40
josh-julius,43,0,1868719,9,31,2,0,0,50,50,0,9,0,55,10,31
julie-richards,73,0,1618311,12,33,10,0,33,0,25,6,15,3,12,14,37
julie-scott,127,0,2749044,10,29,8,0,20,16,16,0,25,50,66,10,28
julien-welsh,67,0,1752821,10,27,6,0,0,,,0,0,0,11,10,27
julius-sandhu,74,0,4552265,11,31,18,0,25,11,11,12,50,0,20,11,32
justin-bowen,29,0,908445,6,23,14,,,,,,,,,6,23
kacy-fogden,122,0,6191024,15,43,8,0,40,25,37,5,10,0,7,16,45
kasey-keys,11,0,359780,10,30,12,,,,,0,0,0,100,10,30
kathryn-durden,166,0,4551594,9,28,10,0,0,,,0,0,0,11,9,29
katrina-alexander,18,2,1173104,22,55,26,15,46,16,33,25,50,20,80,25,57
keith-dryden,767,0,16277610,13,35,22,0,25,16,25,4,22,12,29,13,36
kelly-purdy,53,0,1214160,8,28,10,0,0,0,0,0,0,4,18,8,28
kelvin-bourke,182,0,3361079,10,28,14,,,0,33,0,0,0,20,10,28
ken-elford,126,0,1550050,6,22,14,,,0,0,0,0,18,27,6,22
ken-kelso,20,8,2766767,22,46,24,21,44,12,37,27,45,33,100,24,44
ken-keys,428,0,14513367,9,29,6,0,17,7,9,6,14,8,19,9,30
kerry-parker,368,3,19476496,9,30,10,7,34,20,37,14,29,4,22,9,30
kerry-taplin,10,0,673325,8,27,6,0,0,25,25,0,0,0,33,8,29
kerry-weir,251,0,2984819,8,28,14,,,,,,,0,0,8,28
kevin-corstens,136,0,5564757,9,30,6,0,8,4,17,5,26,0,10,9,31
kim-waugh,626,1,22423038,13,37,10,5,15,3,16,8,25,5,28,13,38
kris-lees,2597,17,117675291,14,39,8,5,24,6,31,7,27,10,30,15,41
kristen-buchanan,274,0,8638511,12,34,20,0,0,9,27,0,25,0,21,13,35
